Company,City,Affected Workers,Notice Received,Notice Type,Layoff Begin Date,NAICS Description,County,Workforce Development Area
Meetings and Incentives Worldwide Inc. - Revision 1,Caledonia,36,9/1/2020,AW,03/05/2020,Convention & Trade Show Organizers,Racine,Southeast
Server Products Inc,Richfield,53,4/9/2020,WR,03/30/2020,Other Com & Service Ind Machinery Mfg,Washington,WOW
Glacial Community YMCA,"Oconomowoc, Watertown",542,4/9/2020,WR,03/16/2020,Civic & Social Organizations,"Waukesha, Dodge","WOW, South Central"
Patientpop,Menasha,1,4/10/2020,WR,03/27/2020,Marketing Consulting Services,Winnebago,Fox Valley
"Hooters of America, LLC","Madison, Brookfield",61,4/10/2020,WR,03/16/2020,Full-service restaurants,"Dane, Waukesha","South Central, WOW"
Scholastic,Milwaukee,53,4/13/2020,WR,03/18/2020,Book & Periodical Merch Whls,Milwaukee,Milwaukee
Safran Aerosystems Services Americas LLC,Menomonee Falls,29,4/13/2020,WR,04/14/2020,Other Elect Equip Repair,Waukesha,WOW
Nordstrom Inc.,"Madison, Wauwatosa",218,4/14/2020,WR,04/05/2020,Deparment Stores,"Dane, Milwaukee","South Central, Milwaukee"
YMCA of Northern Rock County,"Janesville, Milton",142,4/14/2020,WR,03/27/2020,Civic & Social Organizations,Rock,Southwest
"Bars & Recreation, Inc.",Milwaukeee,38,4/14/2020,WR,03/30/2020,Drinking Places Alcoholic Beverages,Milwaukee,Milwaukee
LSC Communications,Baraboo,393,4/15/2020,WR,04/20/2020,Commercial Gravure Printing,Sauk,South Central
LSC Communications - Revision 1,Baraboo,393,6/24/2020,LS,08/24/2020,Commercial Gravure Printing,Sauk,South Central
Ashley Furniture Industries Inc.,Whitehall,70,4/16/2020,WR,04/16/2020,Upholstered Household Furn Mfg,Trempealeau,Western
Milwaukee Center for Independence,Milwaukee,128,4/17/2020,WR,04/30/2020,Other Individual & Family Services,Milwaukee,Milwaukee
The Finish Line,"Green Bay, Greendale, Janesville, Johnson Creek, Madison, Racine, Wauwatosa",131,4/17/2020,WR,04/12/2020,Shoe Stores,"Brown, Dane, Jefferson, Milwaukee, Racine, Rock","Bay Area, Milwaukee, South Central, Southeast, Southwest"
The Finish Line Macy's,Wauwatosa,3,4/17/2020,WR,04/02/2020,Shoe Stores,Milwaukee,Milwaukee
Baker Manufacturing Company LLC,Evansville,49,4/17/2020,WR,04/20/2020,Other Com & Service Ind Machinery Mfg,Rock,Southwest
Goodwill,"Ashland, Superior",20,4/20/2020,WR,04/16/2020,Used Merchandise Stores,"Ashland, Douglas",Northwest
YMCA of the Fox Cities,"Appleton, Greenville, Kimberly, Neenah",1546,4/20/2020,WR,03/16/2020,Civic & Social Organizations,"Outagamie, Winnebago","Bay Area, Fox Valley"
Emmi Roth,Seymour,32,4/21/2020,WR,04/13/2020,Cheese Mfg,Outagamie,Bay Area
Great Lakes Specialty Finance Inc.,"Wautoma, Portage, Delevan, Milwaukee, Sheboygan, Madison, Appleton, Fond du Lac, Beloit, Janesville, West Bend, Green Bay, Eau Claire, Wausau, Marinette, Hudson, Racine, Marshfield, Superior, Shawano",28,4/21/2020,WR,05/01/2020,Consumer Lending,"Waushara, Columbia, Walworth, Milwaukee, Sheboygan, Dane, Outagamie, Fond du Lac, Rock, Washington, Brown, Eau Claire, Marathon, Marinette, St. Croix, Racine, Shawano","Southeast, Milwaukee, WOW, Fox Valley, Bay Area, North Central, Northwest, West Central, South Central, Southwest"
Hutchinson Technology Inc.,Eau Claire,110,4/21/2020,WR,05/28/2020,Computer Storage Device Mfg,Eau Claire,West Central
Visionworks,"Kenosha, Milwaukee, Shorewood, West Allis, Wauwatosa, Greendale, Mequon, West Bend, Brookfield, Waukesha, Oconomowoc, Menomonee Falls, Eau Claire, La Crosse",97,4/22/2020,CL,04/05/2020,Optical Goods Stores,"Eau Claire, Kenosha, La Crosse, Milwaukee, Ozaukee, Washington, Waukesha","Southeast, Milwaukee, WOW, West Central, Western"
Marquis Yachts,Pulaski,117,4/23/2020,WR,06/26/2020,Boat Bldg,Brown,Bay Area
Marquis Yachts - Revision 1,Pulaski,106,7/20/2020,"AW, LS",07/17/2020,Boat Bldg,Brown,Bay Area
Marquis Yachts - Revision 2,Pulaski,57,8/27/2020,"AW, LS",9/11/2020,Boat Bldg,Brown,Bay Area
Marquis Yachts - Revision 3,Pulaski,77,3/8/2021,"AW, LS",5/7/2021,Boat Bldg,Brown,Bay Area
Van Galder Bus / Coach USA,Janesville,258,4/23/2020,WR,03/14/2020,Interurban & Rural Bus Trans,Rock,Southwest
Hi-Crush Services,Whitehall,35,4/23/2020,WR,03/30/2020,Ind Sand Mining,Trempealeau,Western
Hi-Crush Services,Taylor,32,4/23/2020,WR,03/30/2020,Ind Sand Mining,Trempealeau,Western
Bed Bath & Beyond Inc.,Brookfield,55,4/24/2020,WR,04/04/2020,All Other Home Furnishings Stores,Waukesha,WOW
Metals USA Carbon Flat Rolled Inc,Horicon,10,4/27/2020,WR,04/23/2020,Metal Merch Whls,Dodge,South Central
Global Finishing Solutions,Osseo,94,4/27/2020,WR,04/28/2020,Sheet Metal Work Mfg,Trempealeau,Western
Global Finishing Solutions - Revision 1,Osseo,61,8/12/2020,AW,08/28/2020,Sheet Metal Work Mfg,Trempealeau,Western
Smart Sand Inc.,Tomah,55,4/28/2020,WR,05/01/2020,Ind Sand Mining,Monroe,Western
The Hertz Corporation,Milwaukee,38,4/28/2020,WR,04/14/2020,Passenger Car Rental,Milwaukee,Milwaukee
Footlocker.com/Eastbay,Wausau,1,4/28/2020,WR,04/26/2020,Managing Offices,Marathon,North Central
Footlocker.com/Eastbay - Revision 1,Wausau,187,5/14/2020,"AW, LS",07/15/2020,Managing Offices,Marathon,North Central
Footlocker.com/Eastbay - Revision 2,Wausau,179,5/15/2020,AW,07/15/2020,Managing Offices,Marathon,North Central
Foot Locker,"Appleton, Brookfield, Glendale, Green Bay, Greendale, La Crosse, Madison, Milwaukee, Racine, Wauwatosa",261,4/28/2020,WR,04/26/2020,Shoe Stores,"Brown, Dane, La Crosse, Milwaukee, Outagamie, Racine, Waukesha","Bay Area, Milwaukee County, South Central, Southeast, WOW, Western"
Eastbay Retail Store,Wausau,21,4/28/2020,WR,04/26/2020,Shoe Stores,Marathon,North Central
Enterprise Holdings,"Waukesha, Oak Creek, Milwaukee",260,4/29/2020,WR,03/23/2020,Passenger Car Rental,"Waukesha, Milwaukee","Milwaukee, WOW"
Sheraton Milwaukee Brookfield Hotel,Brookfield,101,4/30/2020,WR,03/27/2020,Hotels & Motels exc Casino Hotels,Waukesha,WOW
Bluegreen Vacations,Wisconsin Dells,242,4/30/2020,WR,03/27/2020,Lessors of Residentials Bldgs,Sauk,South Central
Knueppel Healthcare Services Inc.,West Allis,44,3/2/2020,CL,04/30/2020,Food Health Supplement Stores,Milwaukee,Milwaukee
"Everbrite, LLC",Milwaukee,116,3/4/2020,CL,04/27/2020,Sign Mfg.,Milwaukee,Milwaukee
Hutchinson Technology Inc.,Eau Claire,112,3/18/2020,WR,05/16/2020,Computer Storage Device Mfg,Eau Claire,West Central
Punch Bowl Social,Milwaukee,91,3/19/2020,WR,03/16/2020,Full-Service Restaurants,Milwaukee,Milwaukee
"Sub-Zero Group, Inc.",Fitchburg,1043,3/20/2020,CL,03/22/2020,Major Household Appliance Manufacturing,Dane,South Central
"Sub-Zero Group, Inc. - Revision 1",Fitchburg,1046,3/20/2020,AW,03/22/2020,Major Household Appliance Manufacturing,Dane,South Central
Sub-Zero Group Inc. - Revision 2,Madison,1053,4/7/2020,"AW, LS",03/22/2020,Major Household Appliance Manufacturing,Dane,South Central
Sub-Zero Group Inc. - Revision 3,Madison,1113,4/13/2020,AW,03/22/2020,Major Household Appliance Manufacturing,Dane,South Central
Sub-Zero Group Inc. - Revision 4,Madison,1097,4/17/2020,"AW, LS",03/22/2020,Major Household Appliance Manufacturing,Dane,South Central
Tower Clock Eye Center,"Green Bay, Manitowoc, Oconto, Shawano",75,3/20/2020,CL,05/18/2020,Offices of Physicians exc Mental Health,"Brown, Manitowoc, Oconto, Shawano",Bay Area
Holiday Inn Convention Center Stevens Point,Stevens Point,143,3/23/2020,WR,03/21/2020,Hotels & Motels exc Casino Hotels,Portage,North Central
Visual Impressions Inc,Milwaukee,41,3/23/2020,WR,03/20/2020,Commercial Screen Printing,Milwaukee,Milwaukee
"Big Dot of Happiness, LLC",Menomonie,57,3/23/2020,WR,03/18/2020,Electronic Shipping and Mail Order Houses,Dunn,West Central
Stroh Die Cast LLC,Mauston,71,3/23/2020,CL,05/16/2020,Nonferrous Mtl Die-Casting Foundries,Juneau,Western
Wisconsin Central School Bus,Milwaukee,90,3/23/2020,WR,03/16/2020,School & Employee Bus Trans,Milwaukee,Milwaukee
Wisconsin Central School Bus,New Richmond,48,3/23/2020,WR,03/16/2020,School & Employee Bus Trans,St. Croix,West Central
Clearwing Production Inc.,Milwaukee,25,3/23/2020,WR,03/16/2020,Independent Artists Writers & Performers,Milwaukee,Milwaukee
Hyatt Regency Milwaukee,Milwaukee,112,3/23/2020,WR,03/16/2020,Hotels & Motels exc Casino Hotels,Milwaukee,Milwaukee
Mickeys Linen and Towel Supply Inc,Milwaukee,48,3/23/2020,WR,03/18/2020,Linen Supply,Milwaukee,Milwaukee
Black Shoe Hospitality,Milwaukee,155,3/23/2020,WR,03/16/2020,Commercial Bakeries/Full Service Restaurants,Milwaukee,Milwaukee
Eddie Martini's Enterprises,Wauwatosa,30,3/23/2020,WR,03/17/2020,Full-Service Restaurants,Milwaukee,Milwaukee
Park Hotel Inc.,Madison,120,3/23/2020,CL,03/22/2020,Hotels & Motels exc Casino Hotels,Dane,South Central
HMS Host Corporation,Milwaukee,120,3/24/2020,WR,03/20/2020,Limited-service restaurants,Milwaukee,Milwaukee
HMS Host Corporation - Revision 1,Milwaukee,112,8/13/2020,AW,03/30/2020,Limited-service restaurants,Milwaukee,Milwaukee
Holiday Inn & Suites Wausau Rothschild,Rothschild,60,3/24/2020,WR,03/24/2020,Hotels & Motels exc Casino Hotels,Marathon,North Central
Holiday Inn & Suites Wausau Rothschild - Revision 1,,81,5/22/2020,AW,03/24/2020,Hotels & Motels exc Casino Hotels,Marathon,North Central
The Edgewater Management Company,Madison,202,3/25/2020,WR,03/18/2020,Hotels & Motels exc Casino Hotels,Dane,South Central
The Edgewater Management Company - Revision 1,Madison,215,4/13/2020,AW,03/18/2020,Hotels & Motels exc Casino Hotels,Dane,South Central
Hospitality Democracy LLC,Milwaukee,234,3/25/2020,CL,03/16/2020,Full-Service Restaurants,Milwaukee,Milwaukee
Kettle Moraine YMCA,"West Bend, Port Washington",700,3/25/2020,CL,03/17/2020,Civic & Social Organizations,Washington,WOW
Take 5 Oil Change,"Baraboo, Bellevue, Brookfield, Brown Deer, Cedarburg, Crivitz, De Pere, Fitchburg, Glendale, Green Bay, Hales Corner, Hartford, Kenosha, Merrill, Milwaukee, Mukwonago, New Berlin, New London, Oak Creek, Racine, Reedsburg, Sheboygan, Sun Prairie, Waukesha, Wauwatosa, West Allis, Wisconsin Rapids",140,3/25/2020,WR,03/22/2020,Automotive Oil Change & Lubrication Shops,"Brown, Dane, Dodge, Kenosha, Lincoln, Marinette, Milwaukee, Ozaukee, Racine, Sauk, Sheboygan, Waukesha, Waupaca, Wood","Bay Area, Fox Valley, Milwaukee, North Central, Southeast, South Central, WOW"
Schroeder Moving Systems,New Berlin,29,3/26/2020,WR,03/30/2020,Used Household & Office Goods Moving,Waukesha,WOW
MicroStar Quality Services,Green Bay,44,3/26/2020,WR,03/27/2020,All Other Consumer Goods Rental,Brown,Bay Area
Altitude Trampoline Park,Appleton,67,3/26/2020,WR,03/17/2020,All Other Amusement & Recreation Ind,Outagamie,Bay Area
Catering A Fresco,Madison,68,3/26/2020,CL,03/17/2020,Caterers,Dane,South Central
Tex Tubb's Taco Place,Madison,43,3/26/2020,WR,03/17/2020,Full-Service Restaurants,Dane,South Central
Johnny Delmonico's,Madison,34,3/26/2020,CL,03/17/2020,Full-Service Restaurants,Dane,South Central
Johnny Delmonico's - Revision 1,Madison,55,10/7/2020,AW,10/30/2020,Full-Service Restaurants,Dane,South Central
Discovery Culinary Collaborative LLC,Madison,55,3/26/2020,CL,03/17/2020,Full-Service Restaurants,Dane,South Central
Avenue Club,Madison,49,3/26/2020,WR,03/17/2020,Full-Service Restaurants,Dane,South Central
Avenue Club - Revision 1,Madison,80,10/7/2020,AW,10/30/2020,Full-Service Restaurants,Dane,South Central
Eldorado Grill,Madison,47,3/26/2020,WR,03/17/2020,Full-Service Restaurants,Dane,South Central
Luigi's Pizzeria,Madison,34,3/26/2020,WR,03/17/2020,Full-Service Restaurants,Dane,South Central
DLUX,Madison,49,3/26/2020,WR,03/17/2020,Full-Service Restaurants,Dane,South Central
Canteen,Madison,42,3/26/2020,CL,03/17/2020,Full-Service Restaurants,Dane,South Central
Bar Corallini,Madison,27,3/26/2020,WR,03/17/2020,Full-Service Restaurants,Dane,South Central
Monty's Blue Plate Diner,Madison,54,3/26/2020,WR,03/17/2020,Full-Service Restaurants,Dane,South Central
Market Street Diner,Sun Prairie,45,3/26/2020,WR,03/17/2020,Full-Service Restaurants,Dane,South Central
Craftsman Table and Tap,Middleton,49,3/26/2020,CL,03/17/2020,Full-Service Restaurants,Dane,South Central
Bassett Street Brunch Club,Madison,62,3/26/2020,WR,03/17/2020,Full-Service Restaurants,Dane,South Central
Great Lakes Services LLC,Madison,24,3/27/2020,WR,04/03/2020,Hotels & Motels exc Casino Hotels,Dane,South Central
Great Lakes Services LLC,Madison,69,3/27/2020,WR,04/02/2020,Hotels & Motels exc Casino Hotels,Dane,South Central
The Coopers Tavern,Madison,70,3/27/2020,WR,03/17/2020,Full-Service Restaurants,Dane,South Central
Hubbard Avenue Diner,Middleton,65,3/27/2020,WR,03/17/2020,Full-Service Restaurants,Dane,South Central
Cento Restaurant LLC,Madison,78,3/27/2020,WR,03/17/2020,Full-Service Restaurants,Dane,South Central
Everly and Miko Poke,Madison,68,3/27/2020,WR,03/17/2020,Full-Service Restaurants,Dane,South Central
Fresco Restaurant,Madison,43,3/27/2020,WR,03/17/2020,Full-Service Restaurants,Dane,South Central
Fresco Restaurant - Revision 1,Madison,59,10/7/2020,AW,10/14/2020,Full-Service Restaurants,Dane,South Central
Spectra Food Services and Hospitality,Green Bay,49,3/29/2020,CL,03/26/2020,Food Service Contractors,Brown,Bay Area
Spectra Food Services - Revision 1,Green Bay,21,8/28/2020,AW,03/29/2020,Food Service Contractors,Brown,Bay Area
Paper Source,Brookfield,9,3/30/2020,WR,03/29/2020,Office Supplies & Stationery Stores,Waukesha,WOW
Paper Source,Glendale,9,3/30/2020,WR,03/29/2020,Office Supplies & Stationery Stores,Milwaukee,Milwaukee
Paper Source,Madison,13,3/30/2020,WR,03/29/2020,Office Supplies & Stationery Stores,Dane,South Central
Great Lakes Services,Baraboo,247,3/30/2020,WR,03/16/2020,Hotels & Motels exc Casino Hotels,Sauk,South Central
"Schulte Hospitality Group, Inc.",Milwaukee,30,3/30/2020,WR,03/16/2020,Hotels & Motels exc Casino Hotels,Milwaukee,Milwaukee
Collegiate Hotel Group,Madison,63,3/30/2020,WR,03/16/2020,Hotels & Motels exc Casino Hotels,Dane,South Central
"Schwaab, Inc.",Brookfield,42,3/30/2020,WR,03/24/2020,Office Supplies (Exc Paper) Mfg,Waukesha,WOW
Rexnord Industries LLC,Grafton,140,3/30/2020,WR,06/05/2020,Conveyor & Conveying Equip Mfg,Ozaukee,WOW
"Stateline Boys and Girls Clubs, Inc",Beloit,28,3/30/2020,WR,03/30/2020,Civic & Social Organizations,Rock,Southwest
Reynolds Machine Company,New Berlin,36,3/30/2020,WR,03/24/2020,Motor Vehicle Power Train Components Mfg,Waukesha,WOW
Data Dimensions,Janesville,260,3/30/2020,CL,05/29/2020,Description Data Processing Hosting & Related Services,Rock,Southwest
Data Dimensions - Revision 1,Janesville,111,7/27/2020,"LS, AW",07/27/2020,Data Processing Hosting & Related Services,Rock,Southwest
Data Dimensions - Revision 2,Janesville,128,8/20/2020,AW,08/21/2020,Data Processing Hosting & Related Services,Rock,Southwest
Stateline Family YMCA,Beloit,200,3/30/2020,WR,03/16/2020,Civic & Social Organizations,Rock,Southwest
"SSA Group, LLC",Milwaukee,319,3/30/2020,WR,03/29/2020,Limited-service restaurants,Milwaukee,Milwaukee
Delavan Lake Resort,Delavan,11,3/30/2020,CL,03/16/2020,All Other Traveler Accommodation,Walworth,Southeast
Lake Lawn Resort,Delevan,305,3/30/2020,CL,03/16/2020,Hotels & Motels exc Casino Hotels,Walworth,Southeast
YMCA of the Northwoods,Rhinelander,109,3/31/2020,CL,03/17/2020,Civic & Social Organizations,Oneida,North Central
Cinemark USA Inc.,Kenosha,51,3/31/2020,CL,03/26/2020,Motion Picture Theaters exc Drive Ins,Kenosha,Southeast
California Pizza Kitchen,Glendale,36,3/31/2020,CL,03/22/2020,Full-service restaurants,Milwaukee,Milwaukee
FeraDyne Outdoors,Superior,226,3/31/2020,CL,03/25/2020,Sporting & Athletic Goods Mfg,Douglas,Northwest
Stevens Point YMCA,Stevens Point,324,3/31/2020,CL,03/18/2020,Civic & Social Organizations,Portage,North Central
US Bank,Milwaukee,62,2/3/2020,WR,04/06/2020,Commercial Banking,Milwaukee,Milwaukee
Compass Group,Neenah,30,2/3/2020,CL,03/31/2020,Janitorial Services,Winnebago,Fox Valley
"IDEXX Distribution, Inc.",Marshfield,38,2/14/2020,CL,05/01/2020,Veterinary Services,Wood,North Central
"IDEXX Distribution, Inc.",Waukesha,13,2/14/2020,CL,05/01/2020,Veterinary Services,Waukesha,WOW
Riddell Sports Group Inc.,Sun Prairie,109,2/17/2020,CL,04/10/2020,Sporting Goods Stores,Dane,South Central
Bear Down Logistics Central,Sussex,95,2/18/2020,CL,04/13/2020,Local Messengers & Local Delivery,Waukesha,WOW
Black Horse Carriers Inc.,Pewaukee,68,2/24/2020,CL,02/24/2020,General Freight Trucking Long Distance TL,Waukesha,WOW
Black Horse Carriers Inc. - Revision 1,Pewaukee,38,2/27/2020,AW,03/07/2020,General Freight Trucking Long Distance TL,Waukesha,WOW
Cascio Music Co. Inc.,New Berlin,71,2/24/2020,CL,04/20/2020,Musical Instrument & Supplies Stores,Waukesha,WOW
Cascio Music Co. Inc. - Revision 1,New Berlin,71,4/10/2020,LS,05/29/2020,Musical Instrument & Supplies Stores,Waukesha,WOW
Cascio Music Co. Inc. - Revision 2,New Berlin,71,5/26/2020,LS,06/30/2020,Musical Instrument & Supplies Stores,Waukesha,WOW
Cascio Music Co. Inc. - Revision 3,New Berlin,71,7/22/2020,LS,07/17/2020,Musical Instrument & Supplies Stores,Waukesha,WOW
OEMMCCO Inc.,Kenosha,49,1/10/2020,CL,03/31/2020,Machine Shops,Kenosha,Southeast
Eastek Automated Circuit,Menomonee Falls,36,1/28/2020,WR,03/31/2020,Printed Circuit Assembly Mfg,Waukesha,WOW
Marquis Yachts,Pulaski,344,1/30/2020,CL,03/01/2020,Boat Bldg,Brown,Bay Area
FPM Heat Treating,Milwaukee,27,1/30/2020,CL,04/01/2020,Metal Heat Treating,Milwaukee,Milwaukee
Regal Beloit America Inc.,Clinton,59,12/2/2019,CL,01/31/2020,Speed Changer Drive & Gear Mfg,Rock,Southwest
Regal Beloit America Inc. - Revision 1,Clinton,57,01/11/2020,AW,01/31/2020,Speed Changer Drive & Gear Mfg,Rock,Southwest
Regal Beloit America Inc. - Revision 2,Clinton,56,03/13/2020,"AW, LS",01/31/2020,Speed Changer Drive & Gear Mfg,Rock,Southwest
Regal Beloit America Inc. - Revision 3,Clinton,56,05/13/2020,LS,01/31/2020,Speed Changer Drive & Gear Mfg,Rock,Southwest
Regal Beloit America Inc. - Revision 4,Clinton,56,06/02/2020,LS,01/31/2020,Speed Changer Drive & Gear Mfg,Rock,Southwest
"Alorica, Inc.",Green Bay,157,12/13/2019,CL,02/28/2020,Telemarketing & Other Contact Centers,Brown,Bay Area
Chancery Pub and Restaurant,Kenosha,77,11/4/2019,CL,12/31/2019,Full Service Restaurant,Kenosha,Southeast
CFS Brands,Sparta,83,11/12/2019,CL,01/31/2020,Broom Brush & Mop Mfg,Monroe,Western
Cerner Corporation,Beloit,1,11/13/2019,WR,01/14/2020,Computer & Software Merch Whls,Rock,Southwest
Kohler Co.,Kohler,90,11/15/2019,WR,01/12/2020,Misc Fabricated Metal Product Mfg,Sheboygan,Bay Area
Kohler Co. - Revision 1,Kohler,75,04/23/2020,"AW, LS",05/03/2020,Misc Fabricated Metal Product Mfg,Sheboygan,Bay Area
"Transform KM, LLC",Kenosha,70,11/19/2019,CL,02/16/2020,Department Stores,Kenosha,Southeast
JB Milwaukee Healthcare,Milwaukee,120,11/21/2019,CL,01/20/2020,Nursing Care Facilities (Skilled Nursing),Milwaukee,Milwaukee
Dycora Transitional Health - Colonial Manor,Glendale,66,11/22/2019,CL,01/17/2019,Nursing Care Facilities (Skilled Nursing),Milwaukee,Milwaukee
"Olameter DPG, LLC",Oak Creek,70,11/27/2019,CL,12/31/2019,All Other Support Services,Milwaukee,Milwaukee
"TGI Friday's Inc./Milwaukee Front Row Joint Venture, LLC.",Milwaukee,86,10/9/2019,CL,12/06/2019,Snack & Nonalcoholic Beverage Bars,Milwaukee,Milwaukee
Multi-Color Corporation,Green Bay,39,10/17/2019,CL,12/16/2019,Printing & Writing Paper Merch Whls,Brown,Bay Area
Silgan Containers,Menomonee Falls,22,10/21/2019,WR,11/18/2019,Metal Can Mfg,Waukesha,WOW
Gardner Pet Group,West Bend,36,10/24/2019,CL,01/17/2020,Other Animal Food Mfg,Washington,WOW
"INNIO Waukesha Gas Engines, Inc.",Waukesha,75,10/28/2019,WR,12/31/2019,Other Engine Equip Mfg,Waukesha,WOW
Georgia-Pacific Consumer Operations LLC,Greeny Bay,55,10/29/2019,CL,12/16/2019,Managing Officers,Brown,Bay Area
Richter Foods-Burlington Inc.,Burlington,70,9/3/2019,CL,09/15/2019,Supermarkets & Other Grocery Stores,Racine,Southeast
Nestle USA Inc.,Medford,32,9/6/2019,WR,11/01/2019,Frozen Specialty Food Mfg,Taylor,Northwest
Nestle USA Inc.,Appleton,32,9/6/2019,WR,11/01/2019,General Warehousing & Storage,Outagamie,Bay Area
Nestle USA Inc.,Delavan,31,9/6/2019,CL,11/01/2019,General Warehousing & Storage,Walworth,Southeast
Nestle USA Inc.,Sussex,31,9/6/2019,CL,11/01/2019,Frozen Specialty Food Mfg,Waukesha,WOW
Transform KM LLC,Racine,47,9/9/2019,CL,12/15/2019,Department Stores,Racine,Southeast
Schneider National Carriers Inc.,Green Bay,85,8/2/2019,WR,09/30/2019,General Freight Trucking Long Distance TL,Brown,Bay Area
Forrer Business Interiors,Milwaukee,58,8/2/2019,CL,08/02/2019,Furn Merch Whls,Milwaukee,Milwaukee
Forrer Business Interiors - Revision 1,Milwaukee,58,8/9/2019,LS,08/02/2019,Furn Merch Whls,Milwaukee,Milwaukee
Hi-Crush Services LLC,Whitehall,40,8/12/2019,WR,08/30/2019,Description: Ind. Sand Mining,Trempealeau,Western
C&D Technologies,Milwaukee,158,8/15/2019,CL,10/05/2019,Storage Battery Mfg,Milwaukee,Milwaukee
Transform KM LLC,Waupaca,41,8/23/2019,CL,11/17/2019,Department Stores,Waupaca,Fox Valley
Silgan Containers Manufacturing Corporation,Waupun,70,7/1/2019,CL,11/08/2019,Metal Can Manufacturing,Dodge,South Central
Silgan Containers Manufacturing Corporation - Revision 1,Waupun,70,11/4/2019,LS,11/15/2019,Metal Can Manufacturing,Dodge,South Central
Arvato Digital Services,Pleasant Prairie,95,7/3/2019,WR,09/01/2019,General Warehousing & Storage,Kenosha,Southeast
Tramontina US Cookware,Manitowoc,145,7/9/2019,CL,09/08/2019,Mtl Kichn Cookware Utensil Exc Precious Mfg,Manitowoc,Bay Area
US Bank,Eau Claire,43,7/10/2019,WR,10/01/2019,Commercial Banking,Eau Claire,West Central
"Bonton Department Store [aka Saks 5th Avenue, aka Saks 5th Avenue OFF 5TH]",Wauwatosa,39,7/12/2019,CL,09/30/2019,Department Stores,Milwaukee,Milwaukee
Community Development Institution - Head Start,Milwaukee,74,7/23/2019,CL,08/31/2019,Other Individual & Family Services,Milwaukee,Milwaukee
Flambeau River Papers,Park Falls,65,7/25/2019,WR,Unknown,Paper exc Newsprint Mills,Price,Northwest
Flambeau River Papers - Revision 1,Park Falls,108,9/16/2019,"AW, LS",09/24/2019,Paper exc Newsprint Mills,Price,Northwest
ResCare Workforce Services,Milwaukee,99,7/29/2019,WR,09/30/2019,Vocational rehabilitation services,Milwaukee,Milwaukee
Beauty Systems Group,Marinette,84,6/3/2019,CL,07/29/2019,Service Estab Equip Merch Whls,Marinette,Bay Area
Intel Corporation,Eau Claire,62,6/14/2019,CL,08/15/2019,Computer & Software Merch Whls,Eau Claire,West Central
Lee Enterprises,La Crosse,20,6/17/2019,WR,08/10/2019,Newspaper Publishers,La Crosse,Western
Piggly Wiggly,Kenosha,59,6/24/2019,CL,08/24/2019,Supermarkets & Other Grocery Stores,Kenosha,Southeast
Alliance Industries,Marinette,22,6/25/2019,CL,09/01/2019,Ind Pattern Mfg,Marinette,Bay Area
Mayo Clinic Health System - Franciscan,La Crosse,Unknown,5/8/2019,WR,07/01/2019,Offices of Physicians exc Mental Health,La Crosse,Western
Covia Corporation,Maiden Rock,52,5/9/2019,WR,05/08/2019,Ind Sand Mining,Pierce,West Central
The Journal Times,Racine,39,5/13/2019,WR,07/14/2019,Newspaper Publishers,Racine,Southeast
Merit Gear,Antigo,80,5/20/2019,CL,01/01/2020,Speed Changer Drive & Gear Mfg,Langlade,North Central
BMO Harris,Brown Deer,51,5/30/2019,WR,05/30/2019,Commercial Banking,Milwaukee,Milwaukee
F+W Media Inc.,Stevens Point,66,4/1/2019,CL,05/31/2019,Periodical Publishers,Portage,North Central
Iron Mountain Trap Rock Co.,Bloomer,32,4/1/2019,CL,10/26/2018,Crushed & Broken Limestone Mining,Chippewa,West Central
Shopko,"Manitowoc,
Plover",99,4/8/2019,CL,04/14/2019,Department Stores,"Manitowoc, Portage","Bay Area, North Central"
Inmar,Milwaukee,265,4/11/2019,CL,06/15/2019,Pharmaceutical Preparation Mfg,Milwaukee,Milwaukee
Sodexo Services,Oshkosh,87,4/15/2019,CL,07/10/2019,Facilities Support Services,Winnebago,Fox Valley
Silver Star Brands,Oshkosh,62,4/22/2019,WR,06/24/2019,Electronic Shopping and Mail-Order Houses,Winnebago,Fox Valley
Durham School Services,Racine,211,4/23/2019,CL,07/31/2019,School & Employee Bus Trans,Racine,Southeast
Backyard Products,Janesville,23,4/23/2019,CL,08/01/2019,Misc Wood Product Mfg,Rock,Southwest
Saputo Cheese USA,Dresser,49,4/25/2019,CL,05/31/2019,Cheese Mfg,Polk,West Central
"LifeCare Management Services, LLC",Pewaukee,171,4/25/2019,CL,06/23/2019,Managing Offices,Waukesha,WOW
Post Acute Medical Specialty Hospital of Milwaukee,Milwaukee,172,3/7/2019,CL,05/30/2019,Other hospitals,Milwaukee,Milwaukee
Heidel House Resort & Spa,Green Lake,111,3/11/2019,CL,05/20/2019,Hotels & Motels exc. Casino Hotels,Green Lake,Fox Valley
Motor Castings Company,Milwaukee,113,3/20/2019,CL,05/20/2019,Iron Foundries,Milwaukee,Milwaukee
CasTech,West Allis,4,3/20/2019,CL,05/20/2019,Misc Fabricated Metal Product Mfg,Milwaukee,Milwaukee
Radial,Eau Claire,142,3/26/2019,cl,05/28/2019,Telemarketing & Other Contact Centers,Eau Claire,West Central
Dentsply Sirona,Racine,49,3/27/2019,CL,07/01/2019,Whls Trade Agents & Brokers,Racine,Southeast
