DateReceived,Company,City/County,Potential NumberAffected,LayoffDate(s),PhoneNumber,Union,Notice ID
06/08/2020,"Green Bay Dressed Beef, LLC",Sharonville/Hamilton,95,08/07/2020,(513) 543-5466,United Food and Commercial Workers Local Union 75,013-20-078
06/03/2020Updated07/14/2020,"GSW Manufacturing, Inc.",Findlay/Hancock,61,07/31/2020 to 09/04/2020,(419) 423-7111,None,007-20-077
06/03/2020,"Homewood Suites Columbus (Crescent Hotels & Resorts, LLC)",Columbus/Franklin,4,03/20/2020,(703) 563-4931,None,119-20-148*
06/03/2020,The Ritz-Carlton Hotel Co. LLC,Cleveland/Cuyahoga,200,03/21/2020,(216) 902-5232,None,119-20-149*
06/02/2020,"Cleveland Indians Baseball Company, LLC",Cleveland/Cuyahoga,1146,03/13/2020,(216) 420-4563,"IATSE Treasurers and Ticket Sellers (Local 756), SEIU (Local 1) and IATSE (Local 27)",119-20-146*
06/02/2020,"Renaissance Hotel Mgmt Co., LLC",Columbus/Franklin,158,03/21/2020,(614) 233-7501,None,119-20-147*
06/01/2020,Cincinnati Museum Center,Cincinnati/Hamilton,175,07/01/2020 to 08/01/2020,(513) 287-7010,None,013-20-076
05/26/2020,Boyd Gaming - Belterra Park Gaming & Entertainment Center,Cincinnati/Hamilton,361,07/01/2020 to 07/14/2020,(702) 692-4153,"Local B754 of the International Alliance of Theatrical Stage Employees, Moving Picture Technicians, Artists and Allied Crafts of the United States, its Territories and Canada, AFL-CIO, CLC (“IATSE”)",119-20-145*
05/22/2020,21C Museum Hotel,Cincinnati/Hamilton,158,05/20/2020 to 07/01/2020,(502) 882-6228,None,013-20-075
05/21/2020,"Schneller, Inc.",Kent/Portage,50,05/18/2020,(330) 676-7141,None,119-20-144*
05/21/2020,"Poma Glass and Specialty Windows, Inc.",Boardman/Mahoning,57,07/25/2020,(404) 446-4256,None,017-20-074
05/20/2020,"PCC Airfoils, LLC",Crooksville/Perry,122,05/22/2020,(740) 469-1134,None,014-20-072
05/18/2020,Verso Corporation,Miamisburg/Montgomery,59,,(937) 528-3457,None,007-20-073
05/18/2020Updated08/17/2020,The Michaels Companies,Strongsville/Cuyahoga,320,07/18/2020 to 10/30/2020,(972) 409-7628,None,003-20-071
05/14/2020,"LAZ Parking Midwest, LLC",Columbus/Franklin,154,03/15/2020 to 04/11/2020,(312) 771-1939,None,119-20-142*
05/14/2020,Nine Energy Service,Marietta/Washington,60,03/12/2020 to 04/09/2020,(346) 266-4604,None,015-20-070
05/14/2020,"LAZ Parking Midwest, LLC",Cleveland/Cuyahoga,62,03/12/2020 to 04/16/2020,(312) 771-1939,None,119-20-143*
05/13/2020,International Exposition Center (I-X Center),Cleveland/Cuyahoga,176,03/20/2020 to 04/03/2020,(216) 265-2630,"International Brotherhood of Teamsters, Local 507",119-20-141*
05/12/2020,Enterprise Holdings,Blue Ash/Hamilton,163,03/23/2020,(513) 538-6245,None,119-20-139*
05/12/2020,Enterprise Holdings,Columbus/Franklin,35,04/30/2020,(513) 538-6245,None,011-20-069
05/12/2020,Enterprise Holdings,Columbus/Franklin,66,03/23/2020,(513) 538-6245,None,119-20-140*
05/12/2020,Enterprise Holdings,Blue Ash/Hamilton,14,04/30/2020,(513) 538-6245,None,013-20-068
05/12/2020,Enterprise Holdings,Columbus/Franklin,3,04/30/2020,(513) 538-6245,None,011-20-067
05/12/2020,Enterprise Holdings,Columbus/Franklin,80,03/23/2020,(513) 538-6245,None,119-20-138*
05/11/2020,VSP Global,Columbus/Franklin,128,05/01/2020,(916) 281-6373,None,011-20-064
05/11/2020,HMS Host Corporation,Mantua/Portage,84,06/01/2020,(813) 326-5052,None,019-20-066
05/11/2020,"Collegiate Hotel Group, LLC",Columbus/FranklinCincinnati/Hamilton,135,03/16/2020,(502) 489-3737,None,119-20-137*
05/11/2020,"Specialty Retailers, Inc. (Stage Distribution Center)",Jeffersonville/Fayette,287,05/07/2020,(713) 331-5010,None,007-20-063
05/11/2020,ASWPengg LLC,Bedford Heights/Cuyahoga,122,06/30/2020,(216) 292-4620,None,003-20-065
05/11/2020,Cox Automotive,Grove City/Franklin,117,05/17/2020,(678) 645-2200,None,119-20-135*
05/11/2020,Cox Automotive,Hamilton/Butler,80,05/17/2020,(678) 645-2220,None,119-20-136*
05/07/2020,DoubleTree Cleveland Downtown,Cleveland/Cuyahoga,97,03/21/2020,(703) 563-4931,"CMRJB/Workers United Local 10, Textile Processors, Service Trades, Health Care, Professionals and Technical Employees Local 1",119-20-134*
05/07/2020Updated07/02/2020,Hilton Columbus Polaris,Columbus/Delaware,94,03/21/2020 to 08/31/2020,(703) 563-4931,None,119-20-133*
05/07/2020,QMax America Inc.,Newcomerstown/TuscarawasWellsville/Columbiana,3931,05/08/2020,(918) 549-1561,None,006-20-062
05/06/2020,Northfield Park Associates -MGM Northfield Park,Northfield/Summit,937,03/02/2020 to 03/15/2020,(855) 464-6747,"Unite Here, Teamsters Local 436, Teamsters Local 473, IATSE Local 756",119-20-131*
05/06/2020,Hyatt Regency Cincinnati,Cincinnati/Hamilton,73,05/06/2020,(513) 354-4110,None,119-20-132*
05/05/2020Updated06/01/2020,B&C Research Inc.,Barberton/Summit,121,04/03/2020 to 06/01/2020,(330) 319-2750,None,002-20-061
05/05/2020,ArcelorMittal Warren LLC,Warren/Trumbull,2,04/26/2020,(330) 841-2803,None,119-20-127*
05/05/2020,Licking County Library,Various Cities/Licking,58,05/11/2020,(740) 349-5505,None,119-20-128*
05/05/2020,Brentwood Originals Inc.,Youngstown/Mahoning,19,05/01/2020,(310) 637-6804,None,119-20-129*
05/05/2020,MGM Resorts Satellite LLC,Northfield/Summit,1,03/02/2020 to 03/15/2020,(855) 464-6747,None,119-20-130*
05/04/2020,"Mitec-Powertrain, Inc. & Automotive, Inc.",Findlay/Hancock,186,,(248) 642-5660,None,007-20-060
05/01/2020,"Great Lakes Specialty Finance, Inc.",Fairfield/Butler,2,06/05/2020,(513) 430-9332,None,012-20-059
04/30/2020,The Hall China Company,East Liverpool/Columbiana,40,04/30/2020 to 05/30/2020,(304) 387-1300,None,017-20-057
04/30/2020,The Shelly Company,Thornville/Perry,22,03/13/2020,(740) 334-2821,None,119-20-126*
04/30/2020,"LeSaint Logistics, LLC",Cleveland/Cuyahoga,70,06/19/2020,(513) 601-4363,None,003-20-058
04/30/2020,Atrium Hospitality (Holiday Inn & Suites),Cincinnati/Clermont,60,03/12/2020,(678) 335-6956,None,119-20-124*
04/30/2020,Atrium Hospitality (Marriott),Columbus/Franklin,104,03/12/2020,(678) 335-6956,None,119-20-125*
04/29/2020,"Sodexo, Inc.",Middletown/Butler,57,06/30/2020,(513) 787-1225,"Ohio Education Association, Midd-Roe Employees Union",012-20-056
04/29/2020,"DBOH Associates, LLC",Beachwood/Cuyahoga,85,03/20/2020,(216) 464-5950,None,119-20-122*
04/29/2020,ArcelorMittal USA LLC,Richfield/Summit,2,04/26/2020,(219) 399-2098,None,119-20-123*
04/28/2020,American Energy Corporation,Beallsville/Monroe,110,05/02/2020,(740) 338-3100,None,119-20-118*
04/28/2020,Enterprise Holdings,Cleveland/Cuyahoga,65,03/22/2020,(440) 885-6915,None,119-20-120*
04/28/2020,Enterprise Holdings,Hudson/Summit,94,03/22/2020,(440) 885-6915,None,119-20-121*
04/28/2020,Enterprise Holdings,Cleveland/Cuyahoga,14,04/30/2020,(440) 885-6915,None,003-20-054
04/28/2020,Enterprise Holdings,Brookpark/Cuyahoga,1,04/30/2020,(440) 885-6915,None,003-20-053
04/28/2020,Enterprise Holdings,Hudson/Summit,1,04/30/2020,(440) 885-6915,None,002-20-055
04/28/2020,Enterprise Holdings,Brookpark/Cuyahoga,92,03/22/2020,(440) 885-6915,None,119-20-119*
04/28/2020,"Great Lakes Specialty Finance, Inc.",Akron/Summit,1,04/21/2020,(513) 430-9332,None,002-20-052
04/28/2020,"Eat'n Park Hospitality Group, Inc.",Various Cities/Various Counties,688,01/08/2020 to 04/06/2020,(412) 461-2000,None,119-20-117*
04/27/2020,"Constant Aviation, LLC",Richmond Heights/Cuyahoga,52,05/10/2020 to 05/15/2020,(216) 331-1724,None,003-20-051
04/27/2020,"OS Restaurant Services, LLC",Various Cities/Various Counties,3360,03/15/2020,(813) 282-1225,None,119-20-116*
04/27/2020,"Belcan, LLC",Blue Ash/HamiltonCincinnati/Hamilton,720,04/24/2020,(800) 423-5226,None,119-20-115*
04/23/2020,"Visionworks, Inc.",Various Cities/Various Counties,53,04/02/2020,(833) 663-4748,None,119-20-114*
04/22/2020,"Apex Environmental, LLC",Amsterdam/Jefferson,49,03/26/2020 to 04/10/2020,(973) 286-7064,"International Union of Operating Engineers, Local 18",119-20-112*
04/22/2020,Urbana University (Franklin University),Urbana/Champaign,321,04/21/2020 to 05/21/2020,(614) 947-6542,None,007-20-050
04/22/2020,"Gradall Industries, Inc.",New Philadelphia/Tuscarawas,103,02/28/2020 to 03/24/2020,(330) 339-8415,International Association of Machinists and Aerospace Workers,119-20-113*
04/21/2020Updated04/28/2020,ArcelorMittal Cleveland USA,Cleveland/Cuyahoga,403,04/19/2020 to 04/26/2020,(216) 420-6062,None,119-20-111*
04/21/2020,"IAC Wauseon, LLC",Wauseon/Fulton,125,04/27/2020,(419) 337-9558,"UAW, Local 86",007-20-049
04/20/2020Updated05/14/2020,"Miller's Ale House, Inc.",Columbus/Franklin,67,05/13/2020,(407) 547-1219,None,119-20-107*
04/20/2020Updated05/14/2020,"Miller's Ale House, Inc.",Columbus/Franklin,64,05/13/2020,(407) 547-1219,None,119-20-106*
04/20/2020,"Avis Budget Car Rental, LLC",Columbus/Franklin,29,03/20/2020 to 03/24/2020,(214) 298-3296,None,119-20-108*
04/20/2020,"Maines Paper & Food Service, Inc.",Oakwood Village/Cuyahoga,63,04/17/2020,(607) 779-1343,None,119-20-110*
04/20/2020,"Avis Budget Car Rental, LLC",Cleveland/Cuyahoga,44,03/13/2020 to 03/25/2020,(214) 298-3296,None,119-20-109*
04/16/2020,"Certech, Inc.",Twinsburg/Summit,40,04/20/2020,(440) 600-4764,None,002-20-048
04/16/2020,"Green Tokai Co., LTD",Brookville/Montgomery,543,03/23/2020,(937) 286-3256,None,119-20-104*
04/16/2020,Blair Rubber Company,Seville/Medina,12,04/19/2020,(800) 321-5583,None,119-20-105*
04/15/2020,CBCS,Dayton/Montgomery,17,03/23/2020,(919) 281-8336,None,119-20-098*
04/15/2020Updated07/29/2020,Hilton Cincinnati Netherland Plaza,Cincinnati/Hamilton,279,03/19/2020 to 07/31/2020,(865) 293-5251,None,119-20-099*
04/15/2020Updated05/05/2020,"HCFS Health Care Financial Services, LLC",Akron/Summit,181,04/15/2020 to 06/01/2020,(865) 293-5251,None,119-20-096*
04/15/2020,Scholastic Book Fairs,West Chester/Butler,142,03/18/2020,(513) 714-1023,None,119-20-097*
04/15/2020Updated06/03/2020,"Pier 1 Imports, Inc.",Groveport/Franklin,221,08/31/2020,(817) 252-7700,None,011-20-047
04/15/2020,"Fulton County Processing, LTD",Delta/Fulton,58,04/17/2020,(419) 822-9266,None,119-20-102*
04/15/2020,"Westar Hotel Partners, LLC (Renaissance Columbus Westerville)",Westerville/Delaware,105,03/20/2020,(614) 882-6800,None,119-20-103*
04/15/2020,"Profusion Industries, LLC",Marietta/Washington,159,03/30/2020 to 04/20/2020,(740) 374-0803,"The International Chemical Workers Union Council, Local 343C",119-20-100*
04/15/2020,ArcelorMittal Columbus LLC,Columbus/Franklin,122,04/19/2020,(614) 492-6816,"United Steel Workers Local #9309, United Steel Workers Local #2342-01",119-20-101*
04/14/2020Updated07/29/2020,Ohio Cinema Investments LLC (Cinepolis),Miamisburg/Montgomery,43,03/23/2020 to 07/31/2020,(972) 993-1553,None,119-20-092*
04/14/2020,"Vitro Automotive/Pittsburgh Glass Works, LLC",Crestline/Crawford,318,03/23/2020,(419) 569-7283,None,119-20-093*
04/14/2020,ArcelorMittal Cleveland USA,Cleveland/Cuyahoga,48,04/12/2020,(216) 420-6062,None,119-20-090*
04/14/2020,Deceuninck North America (DNA),Monroe/Butler,233,04/15/2020,(513) 539-5565,None,119-20-091*
04/14/2020,Crowne Plaza Dayton,Dayton/Montgomery,130,03/16/2020,(937) 229-9836,None,007-20-046
04/14/2020,"Advanced Composites, Inc.",Sidney/Shelby,210,04/13/2020,(615) 369-1108,None,119-20-095*
04/14/2020,Concord Dayton Hotel II LLC (Marriott at the University of Dayton),Dayton/Montgomery,160,03/20/2020,(937) 226-6835,None,119-20-094*
04/14/2020,Race Winning Brands,Mentor/Lake,67,04/14/2020,(440) 951-6600,None,005-20-045
04/13/2020,"I Am Boundless, Inc.",Worthington/FranklinWest Carrollton/Montgomery,87,04/17/2020,(614) 844-3800,None,119-20-089*
04/13/2020,SugarCreek Packing Co.,Dayton/Montgomery,94,03/26/2020 to 04/06/2020,(513) 551-5280,None,007-20-044
04/10/2020Updated05/11/2020,VSPOne,Lockbourne/Franklin,234,04/10/2020 to 05/01/2020,(916) 851-4889,None,119-20-086*
04/10/2020,Agrati Medina,Medina/Medina,163,04/15/2020,(330) 721-6358,"UAW, Local 3025 and UAW, Local 3045",119-20-087*
04/10/2020,Agrati Tiffin,Tiffin/Seneca,57,04/13/2020,(330) 721-6358,None,119-20-088*
04/09/2020,"Huhtamaki, Inc.",Franklin/Warren,20,04/08/2020,(913) 219-2002,None,119-20-084*
04/09/2020,"JSW Steel USA Ohio, Inc.",Mingo Junction/Jefferson,162,04/09/2020,(740) 535-8617,None,119-20-085*
04/08/2020,Arhaus Furniture,Various Cities/Various Counties,188,04/03/2020,(440) 439-7700,None,119-20-079*
04/08/2020,Acoust-A-Fiber,Delaware/Delaware,159,03/19/2020,(614) 506-0181,None,119-20-080*
04/07/2020,"Scioto Downs, Inc. (Eldorado Scioto Downs)",Columbus/Franklin,420,04/11/2020,(614) 295-4035,None,119-20-077*
04/07/2020,Rayco,Wooster/Wayne,60,04/07/2020,(330) 264-8699,None,119-20-075*
04/07/2020,Benihana Columbus Corp,Columbus/Delaware,37,03/16/2020,(305) 702-2817,None,007-20-039
04/07/2020,"Samurai, Inc.",Cleveland/Cuyahoga,29,03/16/2020,(305) 702-2817,None,003-20-040
04/07/2020,Benihana National Corp,Cincinnati/Hamilton,34,03/16/2020,(305) 702-2817,None,013-20-041
04/07/2020Updated04/10/2020,"Huhtamaki, Inc.",Batavia/Clermont,235,04/06/2020 to 04/09/2020,(913) 219-2002,None,119-20-078*
04/07/2020,"Hooters of America, LLC",Various Cities/Various Counties,134,03/16/2020,(770) 799-2302,None,119-20-081*
04/07/2020,Johns Manville,Defiance/Defiance,35,04/06/2020,(419) 784-7021,"United Steel, Paper, and Forestry, Rubber Manufacturing, Energy Allied Industrial & Service Workers International Union Local No. 51M and the United Auto Workers Local No. 211",119-20-083*
04/07/2020,CBC Companies,Columbus/Franklin,17,03/27/2020,(614) 222-5349,None,011-20-043
04/07/2020,G6 Hospitality LLC,Worthington/Columbus,70,04/13/2020 to 04/30/2020,(972) 360-5916,None,011-20-042
04/06/2020,Cooper Tire & Rubber Company,Findlay/Hancock,797,04/06/2020,(419) 424-4332,None,119-20-071*
04/06/2020,Lamrite West,Strongsville/Cuyahoga,45,04/06/2020,(972) 409-5880,None,119-20-070*
04/06/2020,Superior Auto Group,Cincinnati/Hamilton,72,04/01/2020,(513) 554-2972,None,013-20-037
04/06/2020Updated04/08/2020,Rock & Roll Hall of Fame,Cleveland/Cuyahoga,108,04/12/2020,(216) 515-1974,Local B-27,119-20-068*
04/06/2020,"Cinemark USA, Inc.",Various Cities/Various Counties,1303,03/26/2020,(972) 665-1000,None,119-20-069*
04/06/2020,"Americhem, Inc.",Cuyahoga Falls/Summit,56,04/01/2020,(330) 929-4213,None,119-20-072*
04/06/2020,Bekaert Corporation,Orrville/Wayne,40,03/27/2020,(330) 765-4417,None,119-20-074*
04/06/2020,"VAM USA, LLC",Youngstown/Mahoning,59,04/30/2020,(281) 784-5532,None,017-20-038
04/06/2020,Midwest Tape LLC,Holland/Lucas,183,03/23/2020,(419) 868-9370,None,119-20-073*
04/03/2020,Crowne Plaza Columbus Downtown,Columbus/Franklin,103,03/20/2020,(614) 461-2640,None,119-20-066*
04/03/2020,InterContinental Cleveland Conference Center,Cleveland/Cuyahoga,120,04/10/2020,(216) 707-4127,None,119-20-065*
04/02/2020,"RTW Retailwinds, Inc.",Various Cities/Various Counties,176,03/29/2020,(212) 884-2030,None,119-20-064*
04/01/2020Updated07/22/2020,American Energy Corporation,Beallsville/Monroe,205,08/10/2020,(740) 338-3100,None,015-20-033
04/01/2020Updated07/22/2020,"American Mine Services, Inc.",Clarington/Monroe,37,08/10/2020,(740) 338-3100,None,015-20-034
04/01/2020Updated07/22/2020,The Ohio Valley Transloading Company,Powhatan Point/Belmont,3,08/10/2020,(740) 338-3100,United Mine Workers of America,016-20-032
04/01/2020,Talbert House,Cincinnati/Hamilton,50,04/03/2020,(513) 751-7747,None,119-20-062*
04/01/2020,"Aramark Educational Services, LLC-John Carroll University",University Heights/Cuyahoga,102,05/15/2020,(617) 529-2435,Bakers' Union Local 19,003-20-030
04/01/2020Updated07/22/2020,The Ohio Valley Coal Company,Alledonia/Belmont,63,08/10/2020,(740) 338-3100,None,016-20-031
04/01/2020,YUSA Corporation,Washington Court House/Fayette,350,03/30/2020,(740) 572-2081,None,119-20-063*
04/01/2020,North American Dental Group,Various Cities/Various Counties,443,03/23/2020,(724) 698-2641,None,119-20-082*
04/01/2020Updated07/22/2020,"American Natural Gas, Inc.",Saint Clairsville/Belmont,9,08/10/2020,(740) 338-3100,None,016-20-035
04/01/2020Updated07/22/2020,"Murray American Energy, Inc.",Saint Clairsville/Belmont,22,08/10/2020,(740) 338-3100,None,016-20-036
03/31/2020Updated05/07/2020,"Great Lakes Services, LLC",Sandusky/ErieMason/Warren,802,03/16/2020 to 05/01/2020,(502) 648-9718,None,119-20-055*
03/31/2020,General Aluminum Mfg. Company-Conneaut,Conneaut/Ashtabula,198,03/23/2020,(440) 593-8170,None,119-20-056*
03/31/2020,Busche Performance Group,Edon/Williams,75,,(248) 200-6690,None,119-20-057*
03/31/2020,Inner Health Chiropractic,Columbus/Franklin,11,03/16/2020,(614) 419-5000,None,119-20-052*
03/31/2020,Westin Cleveland Downtown,Cleveland/Cuyahoga,256,03/16/2020,(440) 730-4282,"IUOE Local 18, Chicago Midwest Regional Joint Board/Workers United",119-20-053*
03/31/2020,Economy Linen,Dayton/Montgomery,65,03/20/2020,(301) 575-0347,"Chicago Midwest Regional Joint Board/Workers United, Teamsters Local 957",119-20-054*
03/31/2020,"MountainVision Enterprises, Inc.(The Maids of Cincinnati)",Cincinnati/Hamilton,23,03/23/2020,(513) 396-6900,None,119-20-061*
03/31/2020,Morris Furniture Company,Various Cities/Various Counties,269,03/22/2020,(937) 207-5695,None,119-20-076*
03/31/2020,Great Lakes Brewing Company,Cleveland/Cuyahoga,116,03/31/2020,(216) 325-0241,None,119-20-060*
03/31/2020,ASC Airtex,North Canton/Stark,88,04/01/2020,(260) 260-4074,None,119-20-058*
03/31/2020,"Greenville Technology, Inc./Moriroku-North America",Greenville/DarkeMarysville/Union,540,03/23/2020,(937) 548-1471,None,119-20-059*
03/30/2020,"Bermex, Inc.",Columbus/Franklin,45,03/28/2020,(586) 461-2051,None,119-20-040*
03/30/2020,Manley Deas,Columbus/Franklin,172,03/27/2020,(614) 754-2817,None,011-20-028
03/30/2020,"America's Auto Auction Toledo, Inc.",Perrysburg/Wood,127,03/23/2020,(214) 736-7988,None,119-20-042*
03/30/2020,"Walsh Commercial Group, LLC",Cleveland/Cuyahoga,55,03/24/2020,(216) 251-5509,None,119-20-041*
03/30/2020,"S.A. Comunale Co., Inc.",Barberton/Summit,3,03/23/2020,(330) 706-9424,None,119-20-039*
03/30/2020,Paper Source,Woodmere/Cuyahoga,10,03/29/2020,(312) 505-7214,None,119-20-049*
03/30/2020,Paper Source,Columbus/Franklin,13,03/29/2020,(312) 505-7214,None,119-20-048*
03/30/2020,"Crescent Metal Products, Inc.",Mentor/Lake,92,03/27/2020,(440) 350-1100,UAW Local 70,119-20-038*
03/30/2020,"Dedicated Logistics, Inc.",Hamilton/Butler,116,05/31/2020,(651) 638-5529,None,012-20-027
03/30/2020,General Aluminum Mfg. Company-Ravenna,Ravenna/Portage,212,03/23/2020,(330) 298-7280,None,119-20-050*
03/30/2020,"Activehours, Inc-Earnin",Loveland/Clermont,6,04/01/2020,(650) 569-1122,None,012-20-029
03/30/2020,Brightside Academy Ohio,Cleveland/CuyahogaAkron/SummitColumbus/Franklin,144,03/25/2020,(216) 777-3500,None,119-20-051*
03/30/2020,"Goodwill Industries of Greater Cleveland & East Central Ohio, Inc.",Various Cities/Various Counties,426,03/20/2020,(440) 545-1057,None,119-20-067*
03/30/2020,General Aluminum Mfg. Company-Wapakoneta,Wapakoneta/Auglaize,121,03/23/2020,(419) 739-8430,None,119-20-047*
03/30/2020,Beacon Orthopaedics & Sports Medicine,Sharonville/HamiltonCincinnati/Hamilton,226,03/28/2020,(513) 354-3700,None,119-20-043*
03/30/2020,Ohio Star Forge Company,Warren/Trumbull,88,03/30/2020,(330) 847-3139,USW Local 2243,119-20-044*
03/30/2020,"GSW Manufacturing, Inc.",Findlay/Hancock,55,03/30/2020,(419) 423-7111,None,119-20-046*
03/30/2020,"Consolidated Metal Products, Inc.",Cincinnati/Hamilton,52,03/30/2020,(513) 618-0676,None,119-20-045*
03/26/2020,"Pappas Restaurants, Inc.",Springdale/Hamilton,166,03/21/2020,(713) 869-0151,None,119-20-034*
03/26/2020,"Prestige Maintenance USA, LP",Various Cities/Various Counties,106,03/19/2020,(972) 578-9801,None,119-20-035*
03/26/2020Updated04/23/2020,NOMS Healthcare,Sandusky/Erie,412,03/19/2020,(419) 626-6161,None,119-20-037*
03/26/2020,Jakprints,Cleveland/Cuyahoga,56,03/17/2020,(216) 374-6366,None,003-20-026
03/26/2020,"Soundwich, Inc.",Cleveland/Cuyahoga,93,03/19/2020,(216) 535-1185,None,119-20-036*
03/25/2020,Driven Brands Shared Services (Take 5 Oil Change),Various Cities/Various Counties,198,03/22/2020,(704) 644-8192,None,119-20-029*
03/25/2020,Taiho Corporation of America,Tiffin/Seneca,229,03/23/2020,(419) 443-1645,None,119-20-028*
03/25/2020,Ricart Automotive Personnel,Columbus/Franklin,121,03/24/2020,(614) 836-6454,None,119-20-027*
03/25/2020,"Mark Porter Auto Group-Porter CDJR, Inc.",Pomeroy/Meigs,29,03/25/2020,(614) 746-2814,None,119-20-032*
03/25/2020,"Augusta Sportswear, Inc.",Sidney/Shelby,200,03/23/2020,(937) 494-2500,None,119-20-033*
03/25/2020,"Mark Porter Auto Group-Mark Porter Autoplex, Inc.",Pomeroy/MeigsAthens/Athens,5833,03/25/2020,(614) 746-2814,None,119-20-031*
03/25/2020Updated05/14/2020,International Automotive Components,Huron/Erie,234,08/21/2020 to 10/31/2020,(419) 433-9417,"UAW, Local 913",007-20-025
03/25/2020,"Mark Porter Auto Group-Porter Jackson, Inc.",Jackson/Jackson,41,03/25/2020,(614) 746-2814,None,119-20-030*
03/24/2020Updated05/22/2020,Renaissance Cleveland Hotel,Cleveland/Cuyahoga,143,03/23/2020 to 04/08/2020,(972) 830-3123,None,119-20-018*
03/24/2020,Gissing North America,Sidney/Shelby,120,03/23/2020,(207) 784-1118,None,119-20-019*
03/24/2020Updated06/29/2020,Spire Hospitality,Blue Ash/Hamilton,79,07/01/2020,(469) 788-8710,None,013-20-024
03/24/2020Updated05/22/2020,Embassy Suites Cleveland Rockside,Independence/Cuyahoga,72,03/19/2020 to 03/31/2020,(972) 830-3123,None,119-20-016*
03/24/2020,"JACK Ohio Finance, LLC (JACK Entertainment)",Cleveland/CuyahogaNorth Randall/Cuyahoga,1561,03/31/2020,(216) 297-4896,"UAW Region 2B, IBT Local 436, USW District 1, Unite HERE Local 24, IATSE Local 756, CMJRB, affiliated with Workers United and SEIU, SPFPA",119-20-017*
03/24/2020,Things Remembered Fulfillment Center,North Jackson/Mahoning,158,03/24/2020,(330) 538-2125,None,119-20-024*
03/24/2020,Kleeberger Contracting Services,Liberty Center/Henry,5,03/23/2020,(567) 202-1237,None,119-20-026*
03/24/2020Updated04/01/2020,"Brentwood Originals, Inc.",Youngstown/Mahoning,198,03/23/2020 to 03/31/2020,(310) 637-6804,"United Steelworkers District 1, Sub-District 1",119-20-025*
03/24/2020Updated06/11/2020,Hilton Garden Inn-Toledo/Perrysburg,Perrysburg/Wood,112,03/20/2020 to 06/30/2020,(419) 873-3600,None,119-20-023*
03/24/2020,Wright Tool,Barberton/Summit,140,03/23/2020,(330) 419-1733,None,119-20-020*
03/24/2020,Ross Casting & Innovation,Sidney/Shelby,167,03/24/2020,(937) 497-4500,None,119-20-021*
03/24/2020,"Ultimate Home Services, LLC",Various Cities/Various Counties,62,03/24/2020,(614) 888-8698,None,119-20-022*
03/23/2020,US Steel Seamless Tubular Operations (Lorain Tubular),Lorain/Lorain,250,05/24/2020,(281) 671-3834,United Steelworkers,004-20-023
03/23/2020,Norcold Incorporated,Sidney/ShelbyGettysburg/Darke,345,03/23/2020,(734) 769-0721,None,119-20-015*
03/23/2020Updated04/29/2020,Matsu Ohio,Edgerton/Williams,175,03/23/2020 to 04/17/2020,(419) 298-2394,None,119-20-014*
03/20/2020,Kirchhoff Automotive Waverly,Waverly/Pike,225,03/19/2020,(740) 912-9520,None,119-20-007*
03/20/2020,AEP - Conesville,Conesville/Coshocton,83,05/31/2020,(740) 829-4032,IBEW Local 1466,007-20-022
03/20/2020,Roush Auto Group,Columbus/FranklinWesterville/Franklin,200,03/20/2020,(614) 942-4310,None,119-20-013*
03/20/2020,Ventra Salem LLC,Salem/Columbiana,794,03/20/2020,(234) 564-7103,None,119-20-008*
03/20/2020,Murotech Ohio Corporation,Saint Marys/Auglaize,52,03/20/2020,(479) 733-2292,None,119-20-012*
03/20/2020,Chilgo LLC,Various Cities/Various Counties,331,03/16/2020,(216) 961-6767,None,119-20-011*
03/20/2020,"Calimira, LLC (Rusty Bucket Restaurant & Tavern)",Various Cities/Various Counties,910,03/15/2020,(614) 621-2965,None,119-20-010*
03/20/2020,Cameron Mitchell,Various Cities/Various Counties,1390,03/15/2020,(614) 621-2965,None,119-20-009*
03/19/2020,Strang Corporation,Cleveland/Cuyahoga,105,03/16/2020,(216) 961-6767,None,119-20-006*
03/19/2020,Punch Bowl Cleveland LLC,Cleveland/Cuyahoga,102,03/16/2020,(720) 414-2726,None,119-20-003*
03/19/2020Updated05/22/2020,Embassy Suites Dublin,Dublin/Franklin,97,03/19/2020 to 04/15/2020,(972) 830-3123,None,119-20-004
03/19/2020,"Ultra Premium Services, LLC",Brookfield/Trumbull,121,04/17/2020,(713) 585-3020,None,119-20-005*
03/17/2020,Totally Promotional,Coldwater/Mercer,150,03/17/2020 to 06/15/2020,(567) 890-6035,None,119-20-002*
03/17/2020,Firebirds Wood Fired Grill,Various Cities/Various Counties,410,03/15/2020,(704) 944-5164,None,119-20-001*
03/10/2020Updated07/20/2020,Columbus McKinnon Corporation,Lisbon/Columbiana,69,05/05/2020 to 11/01/2020,(330) 332-6917,"United Steel, Paper and Forestry, Rubber, Manufacturing, and Energy, Allied Industrial and Service Workers International Union AFL-CIO-CLC, Local Union 3372-3",017-20-021
03/02/2020,"QIC Properties US, Inc.",Cleveland/Cuyahoga,56,04/30/2020,(216) 523-4323,None,003-20-020
02/19/2020Updated05/18/2020,Verizon,Hilliard/Franklin,496,04/07/2020 to 07/10/2020,(908) 559-1075,None,011-20-019
02/18/2020,Pier 1 Distribution and Fulfillment Center,Groveport/Franklin,75,04/10/2020,(817) 252-8132,None,011-20-018
